t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
5606,0.1433,-0.6229,0.6632,-6.23,7.94,0.5,21.84
5616,0.1362,-0.6268,0.6729,-6.21,7.48,0.44,21.84
5626,0.1388,-0.6277,0.6769,-6.2,6.81,0.32,21.83
5636,0.1443,-0.6265,0.6727,-6.08,6.18,0.17,21.82
5646,0.1494,-0.6281,0.6694,-5.92,5.97,0.35,21.83
5656,0.1479,-0.6252,0.6718,-5.88,6.0,0.73,21.85
5666,0.1427,-0.6228,0.6691,-6.11,6.08,0.93,21.83
5676,0.1399,-0.6245,0.6683,-6.34,6.2,1.11,21.86
5686,0.1404,-0.6263,0.666,-6.4,6.12,1.31,21.83
5696,0.1406,-0.6228,0.662,-6.32,6.12,1.15,21.84
5706,0.1428,-0.6187,0.6608,-6.24,5.83,1.24,21.85
5716,0.1415,-0.623,0.6649,-5.74,5.65,1.18,21.83
5726,0.14,-0.6226,0.6671,-5.27,5.74,1.27,21.84
5736,0.1447,-0.6252,0.6665,-4.99,5.4,1.53,21.82
5746,0.1423,-0.6259,0.6656,-4.9,5.18,1.63,21.84
5756,0.1364,-0.62,0.6697,-4.75,4.99,1.69,21.83
5766,0.1366,-0.6194,0.6782,-4.73,5.27,1.66,21.82
5776,0.1376,-0.6205,0.6809,-4.84,5.88,1.5,21.84
5786,0.1328,-0.6246,0.681,-4.99,6.41,1.25,21.84
5796,0.1353,-0.6229,0.6793,-4.81,6.61,1.31,21.84
5806,0.1373,-0.6245,0.6813,-4.82,6.38,1.11,21.81
5816,0.1379,-0.6205,0.6782,-4.72,6.56,0.98,21.84
5826,0.1432,-0.6252,0.6743,-4.82,6.53,0.81,21.84
5836,0.145,-0.6237,0.6776,-4.96,6.41,0.78,21.82
5846,0.1433,-0.6172,0.6733,-4.79,6.37,1.01,21.85
5856,0.1429,-0.6179,0.678,-4.66,6.73,1.08,21.84
5866,0.1417,-0.6207,0.6791,-4.66,7.18,1.08,21.83
5876,0.1387,-0.6238,0.6786,-4.87,7.69,0.93,21.84
5886,0.1313,-0.6198,0.6846,-5.19,8.08,0.73,21.83
5896,0.1324,-0.6202,0.6837,-5.66,8.37,0.49,21.86
5906,0.1356,-0.6271,0.688,-5.95,8.26,0.32,21.84
5916,0.1411,-0.6288,0.691,-6.0,8.23,0.15,21.81
5926,0.1409,-0.6171,0.6864,-5.76,8.32,0.26,21.85
5936,0.1403,-0.6165,0.6757,-5.34,8.21,0.37,21.83
5946,0.1373,-0.6157,0.6693,-4.93,7.47,0.35,21.84
5956,0.1351,-0.615,0.6782,-4.98,6.99,0.38,21.83
5966,0.1431,-0.6154,0.6807,-5.22,6.49,0.38,21.84
5976,0.1466,-0.6173,0.6776,-5.25,6.29,0.53,21.84
5986,0.1482,-0.62,0.679,-5.07,6.23,0.69,21.86
5996,0.1483,-0.6238,0.6793,-4.84,6.35,0.92,21.85
6006,0.1498,-0.624,0.6815,-4.75,6.87,1.21,21.83
6016,0.1482,-0.6237,0.6786,-5.05,7.19,1.31,21.83
6026,0.1454,-0.627,0.6826,-5.3,7.37,1.27,21.82
6036,0.1437,-0.6265,0.6796,-5.27,7.89,1.16,21.82
6046,0.1377,-0.6193,0.6826,-5.34,8.47,1.25,21.84
6056,0.1354,-0.6196,0.6837,-5.6,8.4,1.11,21.82
