t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4993,0.2377,-0.0376,0.87,-6.12,6.93,0.02,24.4
5003,0.2339,-0.0345,0.8792,-6.21,7.3,0.0,24.4
5013,0.2458,-0.0374,0.8893,-6.29,7.8,-0.05,24.41
5023,0.2466,-0.047,0.8911,-6.29,6.9,0.02,24.39
5033,0.2203,-0.0557,0.9072,-6.26,8.44,-0.05,24.39
5043,0.2388,-0.0594,0.8816,-6.14,9.28,0.11,24.42
5053,0.2587,-0.0597,0.8555,-6.11,6.78,0.0,24.4
5063,0.2335,-0.0575,0.876,-6.09,6.34,-0.18,24.38
5073,0.2106,-0.0586,0.8965,-6.23,8.73,-0.15,24.38
5083,0.2322,-0.0536,0.8768,-6.17,9.21,-0.17,24.4
5093,0.2517,-0.049,0.8679,-6.14,7.08,-0.17,24.42
5103,0.2366,-0.0516,0.8865,-6.29,6.93,-0.17,24.42
5113,0.2266,-0.057,0.8929,-6.18,8.44,-0.06,24.41
5123,0.2313,-0.0619,0.8823,-6.18,7.8,-0.05,24.4
5133,0.2284,-0.0604,0.8905,-6.15,8.47,0.09,24.4
5143,0.2413,-0.0486,0.8805,-6.06,7.56,-0.05,24.4
5153,0.2338,-0.0388,0.8839,-6.26,7.31,0.06,24.4
5163,0.2231,-0.0361,0.889,-6.15,8.72,-0.03,24.4
5173,0.2423,-0.0316,0.8647,-6.24,8.09,-0.05,24.39
5183,0.239,-0.0311,0.8654,-6.06,6.52,-0.08,24.39
5193,0.2131,-0.0303,0.8927,-6.21,7.63,-0.12,24.39
5203,0.2317,-0.0367,0.8842,-6.2,8.99,-0.12,24.4
5213,0.2465,-0.0392,0.8663,-6.32,6.98,-0.05,24.39
5223,0.2356,-0.0443,0.8806,-6.18,6.76,-0.14,24.42
5233,0.2283,-0.0535,0.8982,-6.14,7.5,-0.14,24.42
5243,0.2407,-0.0496,0.8905,-6.14,7.65,-0.08,24.42
5253,0.2333,-0.0592,0.8917,-6.12,7.39,0.14,24.39
