t_ms,accel_x_g,accel_y_g,accel_z_g,gyro_x_dps,gyro_y_dps,gyro_z_dps,imu_temp_c
4880,0.3284,-0.0227,0.8633,-6.76,7.98,-0.06,29.39
4890,0.3303,-0.0256,0.8669,-6.81,7.98,-0.05,29.38
4900,0.3295,-0.0258,0.8644,-6.66,7.94,-0.02,29.37
4910,0.3263,-0.0239,0.8624,-6.6,7.95,-0.08,29.35
4920,0.3259,-0.0261,0.8644,-6.61,7.95,-0.03,29.37
4930,0.3269,-0.0254,0.8652,-6.69,8.0,0.02,29.41
4940,0.3282,-0.027,0.8636,-6.75,7.89,0.03,29.38
4950,0.3291,-0.0277,0.8676,-6.72,7.94,-0.03,29.37
4960,0.3287,-0.0245,0.8667,-6.67,7.91,-0.03,29.39
4970,0.3267,-0.0255,0.8629,-6.81,7.94,0.03,29.38
4980,0.3263,-0.0261,0.8632,-6.72,7.91,0.03,29.37
4990,0.3241,-0.0248,0.866,-6.69,7.98,-0.03,29.38
5000,0.3291,-0.0254,0.8655,-6.7,7.91,-0.05,29.4
5010,0.3274,-0.0254,0.8627,-6.66,7.92,0.02,29.38
5020,0.3275,-0.0239,0.8643,-6.69,8.0,-0.09,29.38
5030,0.329,-0.0228,0.8669,-6.64,8.0,0.02,29.38
5040,0.329,-0.0258,0.8651,-6.67,7.92,-0.02,29.37
5050,0.3274,-0.0248,0.8627,-6.78,7.91,-0.03,29.37
5060,0.3273,-0.0249,0.8641,-6.75,7.94,0.0,29.37
5070,0.3303,-0.0254,0.8639,-6.69,7.91,-0.09,29.39
5080,0.3269,-0.0255,0.8624,-6.64,7.91,0.03,29.38
5090,0.3285,-0.0254,0.8654,-6.73,8.0,-0.05,29.39
5100,0.3291,-0.0261,0.8625,-6.72,7.98,-0.15,29.39
5110,0.3273,-0.0243,0.8643,-6.73,7.94,-0.02,29.39
5120,0.3293,-0.0249,0.8643,-6.66,7.86,-0.02,29.4
5130,0.327,-0.026,0.8623,-6.64,7.92,-0.02,29.37
5140,0.3292,-0.0249,0.8601,-6.69,7.98,-0.05,29.39
5150,0.3286,-0.0287,0.8661,-6.72,7.92,-0.03,29.38
5160,0.3263,-0.0255,0.8682,-6.66,7.89,-0.11,29.38
5170,0.3291,-0.024,0.8656,-6.7,7.98,-0.03,29.39
5180,0.3302,-0.0247,0.864,-6.63,7.98,-0.06,29.39
5190,0.3276,-0.025,0.8647,-6.7,8.0,-0.08,29.39
5200,0.3287,-0.0259,0.8673,-6.63,7.94,-0.11,29.39
5210,0.3256,-0.0236,0.8655,-6.69,7.98,-0.05,29.39
5220,0.3271,-0.0288,0.8625,-6.67,7.98,-0.03,29.41
5230,0.3292,-0.0265,0.8612,-6.61,7.97,-0.08,29.4
5240,0.3265,-0.0287,0.8622,-6.64,7.95,-0.02,29.39
5250,0.3269,-0.025,0.8685,-6.73,7.89,-0.02,29.41
5260,0.3292,-0.0236,0.8641,-6.72,7.94,-0.02,29.4
5270,0.3292,-0.0266,0.8634,-6.69,8.06,0.0,29.42
5280,0.326,-0.0255,0.8667,-6.7,7.98,-0.02,29.41
5290,0.3286,-0.0271,0.8632,-6.69,7.94,-0.03,29.4
5300,0.3293,-0.0258,0.8656,-6.75,7.92,-0.02,29.39
5310,0.325,-0.0266,0.8622,-6.75,7.92,-0.08,29.39
5320,0.329,-0.0248,0.864,-6.66,7.95,-0.05,29.39
5330,0.3275,-0.0255,0.8661,-6.73,8.0,-0.06,29.41
5340,0.3302,-0.0286,0.8612,-6.67,7.98,-0.05,29.41
5350,0.3289,-0.0258,0.8633,-6.76,7.94,-0.05,29.4
5360,0.3276,-0.0277,0.866,-6.66,8.03,0.03,29.41
5370,0.3295,-0.0264,0.8658,-6.69,7.94,-0.05,29.42
5380,0.3284,-0.0284,0.8649,-6.69,7.94,-0.05,29.42
5390,0.3265,-0.0265,0.869,-6.66,7.95,0.0,29.42
5400,0.3269,-0.026,0.8661,-6.75,7.98,-0.08,29.4
5410,0.3278,-0.024,0.863,-6.73,7.97,-0.06,29.42
5420,0.3259,-0.024,0.8621,-6.7,7.95,-0.02,29.4
5430,0.3262,-0.0236,0.8633,-6.64,7.95,-0.09,29.39
5440,0.3271,-0.025,0.8651,-6.72,7.97,-0.05,29.42
5450,0.3278,-0.0265,0.864,-6.7,8.02,-0.06,29.39
5460,0.3311,-0.0255,0.8639,-6.69,7.91,0.0,29.39
5470,0.3278,-0.0247,0.8649,-6.7,7.95,-0.03,29.4
5480,0.3269,-0.0262,0.8673,-6.67,7.94,-0.03,29.42
5490,0.3274,-0.0253,0.8662,-6.66,7.94,-0.06,29.42
5500,0.3265,-0.0269,0.866,-6.69,7.97,0.0,29.41
5510,0.3257,-0.0253,0.8649,-6.66,7.95,-0.05,29.42
5521,0.3282,-0.0276,0.864,-6.73,7.95,-0.03,29.4
5531,0.3281,-0.0248,0.8667,-6.76,7.97,-0.02,29.42
5541,0.3252,-0.0294,0.8673,-6.69,7.92,-0.09,29.41
5551,0.3257,-0.0247,0.863,-6.75,7.92,0.0,29.39
5561,0.3268,-0.0243,0.8647,-6.7,7.95,0.02,29.42
5571,0.3279,-0.0243,0.8633,-6.79,7.95,-0.03,29.43
5581,0.3269,-0.0249,0.8656,-6.7,8.0,-0.09,29.39
5591,0.3276,-0.0254,0.8658,-6.67,7.94,-0.05,29.4
5601,0.329,-0.0231,0.8619,-6.64,7.98,-0.03,29.41
5611,0.3284,-0.0228,0.8654,-6.72,7.97,-0.02,29.4
5621,0.3281,-0.0253,0.8635,-6.64,7.94,-0.05,29.41
5631,0.327,-0.0261,0.8591,-6.72,7.97,-0.03,29.4
5641,0.328,-0.0272,0.8671,-6.69,7.97,0.03,29.44
5651,0.3284,-0.0249,0.8682,-6.72,7.98,-0.08,29.41
5661,0.3275,-0.0253,0.8649,-6.73,7.98,0.0,29.43
5671,0.3282,-0.025,0.8645,-6.66,7.94,-0.09,29.44
5681,0.3297,-0.0262,0.8647,-6.67,7.97,0.0,29.42
5691,0.328,-0.0267,0.8629,-6.73,7.94,-0.02,29.45
5701,0.3309,-0.0248,0.8627,-6.69,7.97,-0.03,29.4
5711,0.3274,-0.0239,0.8656,-6.64,7.92,-0.05,29.43
5721,0.329,-0.0264,0.8617,-6.7,7.92,-0.11,29.41
5732,0.3308,-0.0265,0.8665,-6.61,7.98,-0.09,29.43
5742,0.329,-0.0278,0.8644,-6.64,8.03,-0.03,29.41
5752,0.3296,-0.0256,0.8646,-6.61,7.92,-0.05,29.39
5762,0.3269,-0.0277,0.8682,-6.75,7.95,-0.03,29.43
5772,0.3287,-0.0254,0.8657,-6.6,7.85,0.0,29.43
5782,0.3262,-0.026,0.8647,-6.66,7.95,-0.05,29.44
5792,0.3268,-0.0264,0.865,-6.76,8.0,-0.05,29.41
5802,0.3269,-0.0266,0.8621,-6.67,7.97,-0.08,29.44
5812,0.3267,-0.0277,0.8632,-6.67,7.98,-0.03,29.44
5822,0.3287,-0.0258,0.8628,-6.72,7.86,-0.03,29.43
5832,0.3281,-0.0255,0.8646,-6.64,7.95,0.0,29.42
5842,0.3278,-0.026,0.8657,-6.69,7.95,-0.02,29.42
5852,0.3287,-0.0259,0.8617,-6.64,7.97,-0.06,29.43
5862,0.3273,-0.0255,0.8661,-6.67,7.98,-0.03,29.41
5872,0.3263,-0.0267,0.8638,-6.7,7.98,-0.06,29.42
5882,0.3287,-0.0239,0.8606,-6.7,8.02,-0.02,29.42
5892,0.3268,-0.0264,0.8621,-6.69,8.02,-0.03,29.42
5902,0.3296,-0.0238,0.8645,-6.66,7.98,-0.03,29.43
5912,0.3279,-0.0254,0.8635,-6.72,7.94,-0.05,29.41
5922,0.3319,-0.0271,0.8628,-6.7,7.95,-0.05,29.41
5932,0.3265,-0.0251,0.8654,-6.69,7.98,-0.05,29.44
5942,0.328,-0.0253,0.8634,-6.67,7.95,0.03,29.42
5952,0.3295,-0.0239,0.8652,-6.75,8.02,-0.03,29.42
5962,0.3268,-0.0267,0.863,-6.63,8.03,-0.08,29.44
5972,0.3297,-0.0267,0.8611,-6.76,8.0,-0.08,29.42
5982,0.3303,-0.026,0.8622,-6.76,7.98,-0.02,29.41
5992,0.3282,-0.0248,0.8638,-6.72,7.95,-0.03,29.43
6002,0.325,-0.0251,0.8652,-6.67,7.95,-0.09,29.41
6012,0.3285,-0.0244,0.866,-6.69,7.94,-0.05,29.44
6022,0.3275,-0.0249,0.8604,-6.61,7.94,0.05,29.47
